id,identifier,height,weight,base_experience,type_slot_1_identifier,type_slot_2_identifier,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,generation,aura_color,description
1,bulbasaur,7,69,64,grass,poison,45,49,49,65,65,45,1,green,Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays， the seed grows progressively larger.
2,ivysaur,10,130,142,grass,poison,60,62,63,80,80,60,1,green,There is a bud on this Pokémon’s back. To support its weight， Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight， it’s a sign that the bud will bloom into a large flower soon.
3,venusaur,20,1000,236,grass,poison,80,82,83,100,100,80,1,green,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
4,charmander,6,85,62,fire,,39,52,43,60,50,65,1,red,The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged， the flame burns fiercely.
5,charmeleon,11,190,142,fire,,58,64,58,80,65,80,1,red,Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe， it turns aggressive. In this excited state， the flame at the tip of its tail flares with a bluish white color.
6,charizard,17,905,240,fire,flying,78,84,78,109,85,100,1,red,Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However， it never turns its fiery breath on any opponent weaker than itself.
7,squirtle,5,90,63,water,,44,48,65,50,64,43,1,blue,Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water， enabling this Pokémon to swim at high speeds.
8,wartortle,10,225,142,water,,59,63,80,65,80,58,1,blue,Its tail is large and covered with a rich， thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.
9,blastoise,16,855,239,water,,79,83,100,85,105,78,1,blue,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
10,caterpie,3,29,39,bug,,45,30,35,20,20,45,1,green,Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna， this Pokémon releases a terrifically strong odor.
11,metapod,7,99,72,bug,,50,20,55,25,25,30,1,green,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
12,butterfree,11,320,178,bug,flying,60,45,50,90,80,70,1,blue,Butterfree has a superior ability to search for delicious honey from flowers. It can even search out， extract， and carry honey from flowers that are blooming over six miles from its nest.
13,weedle,3,32,39,bug,poison,40,35,30,20,20,50,1,brown,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
14,kakuna,6,100,72,bug,poison,45,25,50,25,25,35,1,yellow,Kakuna remains virtually immobile as it clings to a tree. However， on the inside， it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.
15,beedrill,10,295,178,bug,poison,65,90,40,45,80,75,1,yellow,Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered， they will attack in a furious swarm.
16,pidgey,3,18,50,normal,flying,40,45,40,35,35,56,1,brown,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest， however far it may be removed from its familiar surroundings.
17,pidgeotto,11,300,122,normal,flying,63,60,55,50,50,71,1,brown,Pidgeotto claims a large area as its own territory. This Pokémon flies around， patrolling its living space. If its territory is violated， it shows no mercy in thoroughly punishing the foe with its sharp claws.
18,pidgeot,15,395,216,normal,flying,83,80,75,70,70,101,1,brown,This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head， compelling them to choose Pidgeot as their Pokémon.
19,rattata,3,35,51,normal,,30,56,35,25,35,72,1,purple,Rattata is cautious in the extreme. Even while it is asleep， it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.
20,raticate,7,185,145,normal,,55,81,60,50,70,97,1,brown,Raticate’s sturdy fangs grow steadily. To keep them ground down， it gnaws on rocks and logs. It may even chew on the walls of houses.
21,spearow,3,20,52,normal,flying,40,60,30,31,31,70,1,brown,Spearow has a very loud cry that can be heard over half a mile away. If its high， keening cry is heard echoing all around， it is a sign that they are warning each other of danger.
22,fearow,12,380,155,normal,flying,65,90,65,61,61,100,1,brown,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
23,ekans,20,69,58,poison,,35,60,44,40,54,55,1,purple,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
24,arbok,35,650,153,poison,,60,85,69,65,79,80,1,purple,This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe， escaping its crunching embrace is impossible.
25,pikachu,4,60,112,electric,,35,55,40,50,50,90,1,yellow,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
26,raichu,8,300,218,electric,,60,90,55,90,80,110,1,yellow,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
27,sandshrew,6,120,60,ground,,50,75,85,20,30,40,1,yellow,Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night， it burrows into the desert sand to sleep.
28,sandslash,10,295,158,ground,,75,100,110,45,55,65,1,yellow,Sandslash can roll up its body as if it were a ball covered with large spikes. In battle， this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.
29,nidoran♀,4,70,55,poison,,55,47,52,40,40,41,1,blue,Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged， it releases a horrible toxin from its horn.
30,nidorina,8,200,128,poison,,70,62,67,55,55,56,1,blue,When Nidorina are with their friends or family， they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.
31,nidoqueen,13,600,227,poison,ground,90,92,87,75,85,76,1,blue,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.
32,nidoran♂,5,90,55,poison,,46,57,40,40,40,50,1,purple,Nidoran♂ has developed muscles for moving its ears. Thanks to them， the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.
33,nidorino,9,195,128,poison,,61,72,57,55,55,65,1,purple,Nidorino has a horn that is harder than a diamond. If it senses a hostile presence， all the barbs on its back bristle up at once， and it challenges the foe with all its might.
34,nidoking,14,620,227,poison,ground,81,102,77,85,75,85,1,purple,Nidoking’s thick tail packs enormously destructive power. With one swing， it can topple a metal transmission tower. Once this Pokémon goes on a rampage， there is no stopping it.
35,clefairy,6,75,113,fairy,,70,45,48,60,65,35,1,pink,On every night of a full moon， groups of this Pokémon come out to play. When dawn arrives， the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.
36,clefable,13,400,217,fairy,,95,70,73,95,90,60,1,pink,Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet， moonlit nights.
37,vulpix,6,99,60,fire,,38,41,40,50,65,65,1,brown,Inside Vulpix’s body burns a flame that never goes out. During the daytime， when the temperatures rise， this Pokémon releases flames from its mouth to prevent its body from growing too hot.
38,ninetales,11,199,177,fire,,73,76,75,81,100,100,1,yellow,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.
39,jigglypuff,5,55,95,normal,fairy,115,45,20,45,25,20,1,pink,When this Pokémon sings， it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep， Jigglypuff cannot breathe， endangering its life.
40,wigglytuff,10,120,196,normal,fairy,140,70,45,85,50,45,1,pink,Wigglytuff’s body is very flexible. By inhaling deeply， this Pokémon can inflate itself seemingly without end. Once inflated， Wigglytuff bounces along lightly like a balloon.
41,zubat,8,75,49,poison,flying,40,45,35,30,40,55,1,purple,Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime， it stays in caves or under the eaves of old houses， sleeping while hanging upside down.
